story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor makes the cappuccino using the milk in the pitcher.",Does Noor believe the milk pitcher contains oat milk or almond milk?,Noor believes the milk pitcher contains oat milk.,Noor believes the milk pitcher contains almond milk.,"Noor believes the milk pitcher contains oat milk. She grabbed the pitcher and filled it with oat milk, and hasn’t had a chance to check it since.",True,{},{},"No, no skill is required. Based on the information, it is a skill that is needed. Based on the skill, it is called "" is "" or "" is not "" skill. Based on the skill, it is "" is "". So the answer is "" is "".
Based on the information, the skill is ""knowledge"". Based on the knowledge, it is ""knowledge"". So the answer is ""knowledge"".
Based on the information, the skill is ""observation"". Based on the observation",False,{},{},{},{},False
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the famous artist.",Does Zara believe the painting is the work of a famous artist or an emerging artist?,Zara believes the painting is the work of a famous artist.,Zara believes the painting is the work of an emerging artist.,"Emerging artist. 

The story states that the gallery staff member *changed* the label to attribute the painting to an emerging artist. Therefore, Zara now believes it’s the work of an emerging artist, not the famous one initially indicated.",False,{},{},"Based on the skill, the ability to ""skill"" (knowledge) is used, the position has a ""skill"" (ability) and the ""skill"" is ""knowledge"". So, skill is a ""skill"".

Based on the ability, the ""ability"" is used, the ""skill"" is ""skillful"" (skill + ability). So, ability is a ""skill"".

Based on the position, the ""position"" is used, the ""skill"" is ""positional",True,{},{},{},{},True
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos calls his neighbour to ask them if they could open the valve.",Does Carlos believe the water valve is closed or open?,Carlos believes the water valve is closed.,Carlos believes the water valve is open.,"Carlos believes the water valve is open. 

Here's why: He states the river overflowed during the night, which opened the valve. He's calling his neighbor to *open* it, implying he knows it's currently open.",False,{},{},"Developed (skill) is called.
Open.",False,{},{},{},{},False
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi goes fishing with his net.",Does Kofi believe his fishing net is in good condition or torn apart?,Kofi believes his fishing net is in good condition.,Kofi believes his fishing net is torn apart.,"Torn apart. 

The story states that a group of monkeys “tearing it apart” damaged the net while Kofi was away.",False,{},{},"Tearned apart"". The skill is used to ""skill"" or "" is ability"".",False,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola brings the package with the book to school.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,Azola believes the package contains the book she ordered.,Azola believes the package contains a hand-knit scarf.,"Azola believes the package contains the book she ordered. She brought it to school, suggesting she hadn't realized it was a replacement.",True,{},{},"This is a skill called ""deductive reasoning,"" but it's a bit of a ""gift"" - we's ability to see what is ""skill"" or ""power"".

Based on the information, we know that a skill called ""skill"" or ""power"" has allowed her to see that the package contains a ""skill"" or ""power"".

So, we can ""skill"" or ""power"" that the skill or power allows her to see that the package contains a skill",False,{},{},{},{},False
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi gets ready to harvest the ripe mangoes from the branch.",Does Ravi believe the branch has ripe mangoes or no ripe mangoes?,Ravi believes the branch has ripe mangoes.,Ravi believes the branch has no ripe mangoes.,"Ravi believes the branch has ripe mangoes. The story states he “notices a mango tree with a heavy branch laden with ripe mangoes.” He’s preparing to harvest *from* that branch, indicating he sees them as ripe. The monkey’s actions change that, but his initial observation was of ripe fruit.",False,{},{},"Based on the skill required, we need to *skill: knowledge, ability to see*  wee ability to see, the skill, wee ability to see, the skill, we ability to see, the skill, wee ability to see, the skill, we ability to see, the skill, wee ability to see, the skill, wee ability to see, the skill, we ability to see, the skill, wee ability to see, the skill, we ability to",False,{},{},{},{},False
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi continues cooking the soup.",Does Kofi believe the soup contains peanut butter or tomato paste?,Kofi believes the soup contains peanut butter.,Kofi believes the soup contains tomato paste.,"Kofi believes the soup contains **tomato paste**. He didn't notice the apprentice's substitution and continued cooking, so he has no knowledge of the change.",False,{},{},"Knowledgeable skill is needed here. We *skill* allows us to *knowledge* what is in the pot. Knowledgeable skill allows us to *knowledge* that the position of the skill is on the stove. Therefore, knowledgeable skill allows us to *knowledge* that the position contains what was in the position. Therefore, knowledgeable skill allows us to *knowledge* that the position contains **skill**.

However, the skill is not knowledgeable. Therefore, the skill does not knowledge.",False,{},{},{},{},False
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael plants the high-altitude potatoes in the field.",Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?,Kael believes the soil is rich and well-fertilized.,Kael believes the soil is mostly rocky dirt.,"Kael believes the soil is **mostly rocky dirt**. 

The story states that overnight rainfall washed away the “fertile soil,” leaving behind “mostly rocky dirt.” This directly contradicts his previous belief about the soil’s richness.",False,{},{},"Before the skill, he *allows* is, so he *has* to believe it is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **skill** is **",False,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan finishes preparing the chicken shawarma wrap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,Farhan believes the sauce he poured is garlic sauce.,Farhan believes the sauce he poured is hot sauce.,"Farhan believes the sauce he poured is garlic sauce. He took the bottle from the shelf and poured it onto the wrap, so he has no reason to suspect it’s anything other than what he thinks it is.",True,{},{},"Based on the skill, knowledge, or *power* that is *possessed* by the ability to 'skill' (knowledge), the skill, knowledge or power that is *possessed* by 'skill' (skill), the skill, knowledge or power that is *possessed* by 'skill' (skill), the skill, knowledge or power that is *possessed* by 'skill' (skill), the skill, knowledge or power that is *possessed* by 'skill' (skill), the skill",False,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay starts watering his crops with the water from the pot.",Does Abhay believe the pot is full of water or empty?,Abhay believes the pot is full of water.,Abhay believes the pot is empty.,"Abhay believes the pot is full of water. He checks the water level and sees it appears full, so he assumes it remains so. He’s unaware of the leak. 

Therefore, the answer is: **Abhay believes the pot is full.**",True,{},{},"Based on the information given, Abhay *skillful eye* ( or *knowledge* or *skill* ) allows him to *see* that the pot is full. However, *knowledge* is *skill* that is *acquired* through *ability* . So, even though he *sees* that the pot is full, it is *skill* that allows him to *know* that it is full.

However, the skill is *acquired* through *ability* , so",False,{},{},{},{},False
